block,stimulus,response,start_tic,stop_tic
1,dots,left,32484,33448
1,dots,right,33610,34626
1,dots,left,34766,35718
1,dots,left,35899,37288
1,dots,left,37443,38619
1,dots,left,38771,40223
1,dots,right,40379,41878
1,dots,left,42037,43125
1,dots,left,43262,44814
1,dots,right,44951,46435
1,dots,left,46608,47851
1,dots,left,47991,49558
1,dots,right,49721,50837
1,dots,left,51018,52169
1,dots,left,52354,53534
1,dots,right,53702,54592
1,dots,left,54766,55838
1,dots,right,55995,57066
1,dots,right,57244,58363
1,dots,left,58539,59610
1,dots,right,59767,60889
1,dots,left,61051,62579
1,dots,left,62721,64012
1,dots,right,64184,65258
1,dots,right,65424,66606
1,dots,left,66784,67921
1,dots,left,68082,69303
1,dots,right,69485,70514
1,dots,left,70680,71573
1,dots,left,71724,72699
1,dots,left,72869,73928
1,dots,right,74076,75105
1,dots,right,75272,76453
1,dots,right,76615,77767
1,dots,right,77932,79030
1,dots,left,79164,80447
1,dots,right,80598,82409
1,dots,right,82561,83654
1,dots,left,83831,85038
1,dots,left,85230,86556
1,dots,left,86718,87990
1,dots,right,88125,89235
1,dots,left,89384,90925
1,dots,right,91082,92819
1,dots,right,92967,93945
1,dots,right,94096,95481
1,dots,right,95640,97034
1,dots,right,97186,98911
1,dots,right,99064,100106
1,dots,right,100264,102290
1,blobs,left,106458,107393
1,blobs,right,107410,108349
1,blobs,right,108366,109168
1,blobs,left,109184,110209
1,blobs,left,110226,111370
1,blobs,left,111386,112906
1,blobs,right,112922,114987
1,blobs,right,115004,115926
1,blobs,right,115943,116865
1,blobs,right,116886,118298
1,blobs,left,118315,119834
1,blobs,right,119851,120960
1,blobs,left,120977,121984
1,blobs,right,122005,123247
1,blobs,right,123264,124186
1,blobs,left,124202,125158
1,blobs,right,125179,126131
1,blobs,right,126148,128162
1,blobs,left,128182,129186
1,blobs,left,129202,130517
1,blobs,right,130534,131439
1,blobs,right,131542,132650
1,blobs,left,132670,134357
1,blobs,right,134373,135398
1,blobs,right,135414,136456
1,blobs,left,136472,137514
1,blobs,left,137530,138658
1,blobs,right,138674,140159
1,blobs,right,140175,141422
1,blobs,right,141439,142958
1,blobs,left,142976,144340
1,blobs,right,144357,145688
1,blobs,right,145704,146814
1,blobs,right,146831,148180
1,blobs,left,148197,149204
1,blobs,right,149220,150689
1,blobs,left,150705,151951
1,blobs,right,151968,152958
1,blobs,left,152975,154033
1,blobs,left,154054,155177
1,blobs,left,155198,156184
1,blobs,right,156200,157139
1,blobs,left,157156,158197
1,blobs,left,158215,159187
1,blobs,left,159206,160194
1,blobs,right,160214,161235
1,blobs,left,161258,162276
1,blobs,right,162293,163556
1,blobs,left,163573,164648
1,blobs,right,164669,165655
2,dots,left,273306,274481
2,dots,right,274636,275504
2,dots,left,275660,276938
2,dots,left,277102,278338
2,dots,left,278516,280658
2,dots,right,280812,282057
2,dots,right,282215,283508
2,dots,left,283667,285590
2,dots,right,285726,286955
2,dots,left,287093,288048
2,dots,left,288244,289431
2,dots,right,289564,290454
2,dots,left,290617,291768
2,dots,right,291950,293372
2,dots,left,293546,294464
2,dots,right,294651,295608
2,dots,left,295765,296785
2,dots,right,296954,298406
2,dots,right,298557,299771
2,dots,left,299948,301155
2,dots,right,301343,302690
2,dots,left,302834,304124
2,dots,right,304270,305215
2,dots,right,305368,306307
